"Nombre","Waze"
"🌄 Cerro Pelón: un mirador secreto en San Ramón con vista al golfo","https://www.waze.com/ul?ll=10.153271%2C-84.62216&navigate=yes"
"🌄 Cerro Urán: El hermano secreto del Chirripó que te roba el aliento","https://www.waze.com/ul?ll=9.48139979252683%2C-83.6128177866233&navigate=yes"
"🌈 Viento Fresco - Tilarán","https://www.waze.com/ul?ll=10.421%2C-84.919&navigate=yes"
"🌲 Cerro Vueltas Lodge: lluvia, senderos y páramo mágico en el Cerro de la Muerte","https://www.waze.com/ul?ll=9.63338333937459%2C-83.8538104164098&navigate=yes"
"🌲 Monte Sky – Cataratas escondidas en Orosí","https://www.waze.com/ul?ll=9.75%2C-83.833&navigate=yes"
"🌿 Cascada Rana Roja: Un paraíso escondido en Platanillo","https://www.waze.com/ul?ll=9.345%2C-83.831&navigate=yes"
"🌿 Catarata San Fernando – Aventura en Cinchona","https://www.waze.com/ul?ll=10.2233867%2C-84.1685722&navigate=yes"
"🌿 Finca Manglar – Sierpe","https://www.waze.com/ul?ll=8.828%2C-83.512&navigate=yes"
"🌿 Reserva Targuá: naturaleza, senderos y piscina natural en Santa Ana","https://www.waze.com/ul?ll=9.89386943050729%2C-84.1882073521964&navigate=yes"
"🌿 Restaurante Senderos: Cataratas, pozas y comida rica en San Ramón","https://www.waze.com/ul?ll=10.1101428%2C-84.5098405&navigate=yes"
"🌿 Talamanca Nature Reserve: 1600 hectáreas de pura aventura en San Gerardo de Rivas","https://www.waze.com/ul?ll=9.89386943050729%2C-84.1882073521964&navigate=yes"
"🍃 La Marta – Naturaleza para todos los niveles en Cartago","https://www.waze.com/ul?ll=9.786%2C-83.686&navigate=yes"
"🏖️ Playa Rosada – Nosara","https://www.waze.com/ul?ll=9.91%2C-85.662&navigate=yes"
"🏖️ Playas de La Cruz – Guanacaste","https://www.waze.com/ul?ll=11.023%2C-85.7&navigate=yes"
"🏝️ Drake – Parte 1: Aventura en la Península de Osa","https://www.waze.com/ul?ll=8.68735808769815%2C-83.7061339&navigate=yes"
"🏞️ Laguna de Plata: picnic, laguito y naturaleza en Heredia","https://www.waze.com/ul?ll=10.0674625%2C-84.0921094&navigate=yes"
"🐎 Cerro Caballito: una joya en las alturas de Guanacaste","https://www.waze.com/ul?ll=10.2642093861971%2C-85.3467290260965&navigate=yes"
"🐒 Refugio de Vida Silvestre Curú – Playas, senderos y bioluminiscencia en Puntarenas","https://www.waze.com/ul?ll=9.776%2C-84.944&navigate=yes"
"🐦 Tierra de Quetzales: senderismo, cascadas y avionetas perdidas en Copey","https://www.waze.com/ul?ll=9.636143%2C-83.85738&navigate=yes"
"🐾 Corcovado – Sector La Leona: una probadita de la selva más intensa del mundo","https://www.waze.com/ul?ll=8.442%2C-83.454&navigate=yes"
"🐾 Esterillos Oeste: pozas, playa y un hotel con piscina en forma de hueso","https://www.waze.com/ul?ll=9.53166948073767%2C-84.4987340290704&navigate=yes"
"🐾 Wildlife Rescue Center (ZooAve) - Un santuario natural en Alajuela","https://www.waze.com/ul?ll=10.012365%2C-84.275541&navigate=yes"
"💎 Las Gemelas Fantásticas – Bajos del Toro","https://www.waze.com/ul?ll=10.251%2C-84.268&navigate=yes"
"💦 Catarata del Río Pozo Azul: Naturaleza salvaje cerca del Caribe","https://www.waze.com/ul?ll=10.371%2C-84.141&navigate=yes"
"💦 Catarata La 28 - Aventura entre potreros y río en Turrialba","https://www.waze.com/ul?ll=9.959%2C-83.716&navigate=yes"
"💦 Catarata Las Trillizas – Turrialba","https://www.waze.com/ul?ll=9.974%2C-83.704&navigate=yes"
"💦 Las Pilas de Parrita – Puntarenas","https://www.waze.com/ul?ll=9.610542%2C-84.321613&navigate=yes"
"💦 Poza El Cañón – Finca San Gerardo, San Ramón","https://www.waze.com/ul?ll=10.033%2C-84.535&navigate=yes"
"💧 Finca San Rafael: pozas esmeralda y un rincón mágico en Toro Amarillo","https://www.waze.com/ul?ll=10.264772%2C-84.263958&navigate=yes"
"🦅 Reserva Indígena Kekoldi – Talamanca","https://www.waze.com/ul?ll=9.657%2C-82.801&navigate=yes"
"🦓 Safari, Canopy y Catarata en La Ponderosa - Liberia","https://www.waze.com/ul?ll=10.556%2C-85.397&navigate=yes"
"Adventure Park","https://www.waze.com/ul?ll=10.082338%2C-84.105642&navigate=yes"
"Agujas – Bijagual: Kayak, Catarata y Atardecer 🔥","https://www.waze.com/ul?ll=9.721%2C-84.65&navigate=yes"
"Albergue Socorro- Colonia Virgen de Socorro","https://www.waze.com/ul?ll=10.279773%2C-84.166817&navigate=yes"
"BAHÍA DRAKE - PUNTARENAS","https://www.waze.com/ul?ll=8.711884%2C-83.66144&navigate=yes"
"Bahía Junquillal: Acampar frente al paraíso en Guanacaste","https://www.waze.com/ul?ll=10.9222222222222%2C-85.7111111111111&navigate=yes"
"Bajos La Paz – Cabalgata a la catarata La Danta 🐎💧","https://www.waze.com/ul?ll=10.166%2C-84.55&navigate=yes"
"BIOLLEY - PUNTARENAS","https://www.waze.com/ul?ll=9.033%2C-83.037&navigate=yes"
"Bosque de la Hoja","https://www.waze.com/ul?ll=10.0769%2C-84.1022&navigate=yes"
"Bosque Del Niño - Grecia","https://www.waze.com/ul?ll=10.133%2C-84.256&navigate=yes"
"Brasilito & Conchal","https://www.waze.com/ul?ll=10.4036923%2C-85.78972&navigate=yes"
"Braulio Carrillo - San José","https://www.waze.com/ul?ll=10.2085702%2C-84.0205802&navigate=yes"
"Bribri (Tours de Cacao y Cataratas Volio/Maqui)","https://www.waze.com/ul?ll=9.6263047%2C-82.8525167&navigate=yes"
"Buceo - Isla del Caño","https://www.waze.com/ul?ll=8.869%2C-83.471&navigate=yes"
"CAHUITA - Limón","https://www.waze.com/ul?ll=9.729%2C-82.811&navigate=yes"
"Cahuita - Parque Nacional Cahuita","https://www.waze.com/ul?ll=9.7751411%2C-82.7387587&navigate=yes"
"Caminata Manuel Antonio","https://www.waze.com/ul?ll=9.424%2C-84.158&navigate=yes"
"Caminata Río Cajón - Coronado","https://www.waze.com/ul?ll=9.9767306%2C-84.0079501&navigate=yes"
"Caminos de Osa","https://www.waze.com/ul?ll=8.417%2C-83.279&navigate=yes"
"CANOA HAWAIANA AGUJAS","https://www.waze.com/ul?ll=9.721%2C-84.65&navigate=yes"
"Cañón de la Vieja – Aventura entre ríos y spa volcánico","https://www.waze.com/ul?ll=10.679%2C-85.451&navigate=yes"
"Cañon del Río Aranjuez","https://www.waze.com/ul?ll=10.0832988%2C-84.729334&navigate=yes"
"Cañón Del Río Parismina - Limón","https://www.waze.com/ul?ll=10.3011648%2C-83.3495507&navigate=yes"
"Canyoning Sitio Mata","https://www.waze.com/ul?ll=9.991%2C-83.677&navigate=yes"
"Carate Península de Osa 1","https://www.waze.com/ul?ll=8.4603583%2C-83.4616237&navigate=yes"
"Cascada Elysiana","https://www.waze.com/ul?ll=9.314%2C-83.83&navigate=yes"
"CASCADA MALATOBA","https://www.waze.com/ul?ll=10.352%2C-83.972&navigate=yes"
"Cascadas Pozo Azul - Colonia del Toro","https://www.waze.com/ul?ll=10.281%2C-84.244&navigate=yes"
"Catamarán Golfo Dulce","https://www.waze.com/ul?ll=8.6040618%2C-83.1133792&navigate=yes"
"CATAMARÁN PLAYA COYOL - Puntarenas","https://www.waze.com/ul?ll=9.6541742%2C-84.6636049&navigate=yes"
"Catarata Ángel Gabriel - San Ramón","https://www.waze.com/ul?ll=10.0910284%2C-84.4703933&navigate=yes"
"Catarata Aquiares ☕💦 | La joya cafetalera de Turrialba","https://www.waze.com/ul?ll=9.933%2C-83.715&navigate=yes"
"Catarata Bijagual","https://www.waze.com/ul?ll=9.7304182%2C-84.5693859&navigate=yes"
"Catarata Cangreja","https://www.waze.com/ul?ll=10.7811%2C-85.3522&navigate=yes"
"Catarata Caño Seco - Turrialba","https://www.waze.com/ul?ll=9.991%2C-83.677&navigate=yes"
"Catarata Chindama – La joya escondida de Guápiles","https://www.waze.com/ul?ll=10.148%2C-83.813&navigate=yes"
"Catarata del Río Blanco – Guápiles, Limón 🌿💦 | Un paraíso oculto digno de National Geographic","https://www.waze.com/ul?ll=10.15%2C-83.816&navigate=yes"
"Catarata del Río Savegre – Magia natural en San Gerardo de Dota 🌿💦✨","https://www.waze.com/ul?ll=9.547%2C-83.811&navigate=yes"
"Catarata del Toro","https://www.waze.com/ul?ll=10.2558%2C-84.2917&navigate=yes"
"CATARATA DIAMANTE – Pérez Zeledón","https://www.waze.com/ul?ll=9.279%2C-83.778&navigate=yes"
"Catarata Dos Novillos 2 - Limón","https://www.waze.com/ul?ll=10.1668658%2C-83.6055732&navigate=yes"
"Catarata El Angel & San Alejo - Siquirres","https://www.waze.com/ul?ll=10.07%2C-83.593&navigate=yes"
"Catarata El Encanto – Esparza 🌊 | Un tesoro escondido entre potreros","https://www.waze.com/ul?ll=9.955%2C-84.64&navigate=yes"
"Catarata El Indio","https://www.waze.com/ul?ll=9.667089%2C-84.374292&navigate=yes"
"Catarata El Paraíso - Grecia","https://www.waze.com/ul?ll=10.141389%2C-84.282222&navigate=yes"
"Catarata El Rey - Puriscal","https://www.waze.com/ul?ll=10.141389%2C-84.282222&navigate=yes"
"Catarata El Rey (Zapatón)","https://www.waze.com/ul?ll=9.693564%2C-84.33936&navigate=yes"
"Catarata El Salto de Gamalotillo","https://www.waze.com/ul?ll=9.607497%2C-84.443024&navigate=yes"
"CATARATA EL SANTUARIO - TURRIALBA","https://www.waze.com/ul?ll=9.9067054%2C-83.6800512&navigate=yes"
"Catarata El Tigre Monteverde","https://www.waze.com/ul?ll=10.3744369%2C-84.8315369&navigate=yes"
"Catarata La Bruja - Bonilla Turrialba","https://www.waze.com/ul?ll=9.9067054%2C-83.6800512&navigate=yes"
"Catarata La Esmeralda","https://www.waze.com/ul?ll=8.8162931%2C-82.9098133&navigate=yes"
"Catarata La Fortuna","https://www.waze.com/ul?ll=10.4436%2C-84.6744&navigate=yes"
"Catarata La Gamalota","https://www.waze.com/ul?ll=10.14847%2C-83.812788&navigate=yes"
"Catarata La Leona","https://www.waze.com/ul?ll=10.7197949%2C-85.4104706&navigate=yes"
"Catarata La Muralla - Turrialba","https://www.waze.com/ul?ll=9.974%2C-83.704&navigate=yes"
"Catarata Las Cortinas","https://www.waze.com/ul?ll=10.0981388%2C-83.5096859&navigate=yes"
"Catarata Las Gemelas","https://www.waze.com/ul?ll=9.68241%2C-84.365022&navigate=yes"
"Catarata Las Golondrinas - Guácimo","https://www.waze.com/ul?ll=10.148%2C-83.67&navigate=yes"
"Catarata Las Nubes - Ciudad Quesada","https://www.waze.com/ul?ll=10.315%2C-84.396&navigate=yes"
"Catarata Las Orquídeas - Guápiles","https://www.waze.com/ul?ll=10.2133499%2C-83.7868871&navigate=yes"
"Catarata Las Palmas - Cerro de la Muerte","https://www.waze.com/ul?ll=9.5278082%2C-83.6987454&navigate=yes"
"Catarata Los Montes","https://www.waze.com/ul?ll=10.1539241%2C-83.6674162&navigate=yes"
"Catarata Los Nogales - Turrialba","https://www.waze.com/ul?ll=9.9067054%2C-83.6800512&navigate=yes"
"Catarata Metaponto","https://www.waze.com/ul?ll=8.7188782%2C-82.9489864&navigate=yes"
"Catarata Nauyaca","https://www.waze.com/ul?ll=9.256347%2C-83.7957434&navigate=yes"
"Catarata Oropéndola","https://www.waze.com/ul?ll=10.7519975%2C-85.380336&navigate=yes"
"Catarata Rio Elia","https://www.waze.com/ul?ll=10.149%2C-83.806&navigate=yes"
"Catarata Río Perla - Siquirres","https://www.waze.com/ul?ll=10.102%2C-83.628&navigate=yes"
"Catarata Salto del Ángel","https://www.waze.com/ul?ll=8.8162931%2C-82.9098133&navigate=yes"
"Catarata Salto La Victoria","https://www.waze.com/ul?ll=9.7034083%2C-84.3978752&navigate=yes"
"Catarata San Gabriel - Pérez Zeledón","https://www.waze.com/ul?ll=9.197848%2C-83.5769671&navigate=yes"
"CATARATA UVITA & PAVON","https://www.waze.com/ul?ll=9.077%2C-83.616&navigate=yes"
"Catarata Valle Encantado - Puntarenas","https://www.waze.com/ul?ll=9.6474653%2C-84.6290484&navigate=yes"
"Catarata Vista Real","https://www.waze.com/ul?ll=9.686%2C-83.936&navigate=yes"
"Cataratas Bribri y Volio","https://www.waze.com/ul?ll=9.6540146%2C-82.7549412&navigate=yes"
"Cataratas de Montezuma","https://www.waze.com/ul?ll=9.65248%2C-85.07232&navigate=yes"
"Cataratas El Congo","https://www.waze.com/ul?ll=10.2937238%2C-84.1860263&navigate=yes"
"Cataratas Los Campesinos - San Lorenzo de Tarrazú","https://www.waze.com/ul?ll=9.457%2C-84.006&navigate=yes"
"Cataratas Namú","https://www.waze.com/ul?ll=9.193%2C-83.558&navigate=yes"
"Cataratas Nauyaca","https://www.waze.com/ul?ll=9.254635%2C-83.8075411&navigate=yes"
"Cataratas Vino Tinto - Santa María de Dota","https://www.waze.com/ul?ll=9.6547803%2C-83.9762093&navigate=yes"
"Centro Deportivo La Florencia - Alajuela","https://www.waze.com/ul?ll=9.965671%2C-84.3437861&navigate=yes"
"Cerro Buena Vista - San José","https://www.waze.com/ul?ll=9.4303353%2C-83.8418845&navigate=yes"
"Cerro Caricias – Bosque mágico cerca de la ciudad 🌿✨","https://www.waze.com/ul?ll=9.6547803%2C-83.9762093&navigate=yes"
"Cerro Chirripó – Ruta San Jerónimo 🌄","https://www.waze.com/ul?ll=9.466%2C-83.597&navigate=yes"
"Cerro Chirripó por San Gerardo – La cumbre más alta de Costa Rica","https://www.waze.com/ul?ll=9.463842%2C-83.601301&navigate=yes"
"Cerro Dantas en Heredia: Caminata con cataratas y selva nublada","https://www.waze.com/ul?ll=10.086%2C-84.072&navigate=yes"
"CERRO DRAGÓN - ASERRÍ","https://www.waze.com/ul?ll=9.752%2C-84.133&navigate=yes"
"Cerro El Encanto - San Buenaventura","https://www.waze.com/ul?ll=10.173%2C-84.73&navigate=yes"
"Cerro Ena","https://www.waze.com/ul?ll=9.3675%2C-83.4291667&navigate=yes"
"Cerro Espíritu Santo - Naranjo","https://www.waze.com/ul?ll=10.0850398%2C-84.4065428&navigate=yes"
"Cerro Indio Jupa Plana - Acosta","https://www.waze.com/ul?ll=9.8000005%2C-84.1580225&navigate=yes"
"Cerro Iztarú - Tres Ríos","https://www.waze.com/ul?ll=9.895%2C-83.975&navigate=yes"
"Cerro La Asunción","https://www.waze.com/ul?ll=9.5666667%2C-83.7333333&navigate=yes"
"Cerro Ojo De Agua & Catarata La Maravilla","https://www.waze.com/ul?ll=9.752%2C-84.138&navigate=yes"
"Cerro Pelado: Aventura de viento, vértigo y vistas lunares en Cañas 🌬️⛰️","https://www.waze.com/ul?ll=10.381%2C-85.007&navigate=yes"
"Cerro Tinajitas – ¡Vistas de otro planeta en San Ramón! 🌄","https://www.waze.com/ul?ll=10.011%2C-85.504&navigate=yes"
"Cerro Tortuguero","https://www.waze.com/ul?ll=10.5839603%2C-83.5274727&navigate=yes"
"Cerro Utyum - Buenos Aires","https://www.waze.com/ul?ll=9.1672952%2C-83.3308421&navigate=yes"
"Cerro Yarcazú – Puriscal 🌿⛰️","https://www.waze.com/ul?ll=9.682%2C-84.631&navigate=yes"
"Ciudad Esmeralda","https://www.waze.com/ul?ll=10.2732727936082%2C-84.4357294134919&navigate=yes"
"Copey Estate Winery - San José","https://www.waze.com/ul?ll=9.62859085943718%2C-83.9132095926017&navigate=yes"
"Cráter La Olla y Cerro Pasqui","https://www.waze.com/ul?ll=9.93398%2C-83.854759&navigate=yes"
"Cruce Golfo Dulce en Kayak 🌊🐬 – Aventura salvaje en el paraíso más azul de Costa Rica","https://www.waze.com/ul?ll=10.551%2C-85.7&navigate=yes"
"Cruz de Alajuelita & Cerro Cedral – Un amanecer épico en las montañas de Escazú 🌄🥾🔥","https://www.waze.com/ul?ll=9.893%2C-84.121&navigate=yes"
"Depósito Libre Comercial de Golfito","https://www.waze.com/ul?ll=8.6475548%2C-83.1786244&navigate=yes"
"Dos Novillos – Limón: aventura en la selva hasta una catarata de 40 metros 🌿","https://www.waze.com/ul?ll=10.104%2C-83.655&navigate=yes"
"Drake Bay (Bahía Drake)","https://www.waze.com/ul?ll=8.7046659%2C-83.6550131&navigate=yes"
"ECOCHONTALES - PÉREZ ZELEDÓN","https://www.waze.com/ul?ll=9.352%2C-83.844&navigate=yes"
"El Bus Místico - Heredia","https://www.waze.com/ul?ll=10.087%2C-84.079&navigate=yes"
"El Caballón y El Morrón - Sarapiquí","https://www.waze.com/ul?ll=10.316967%2C-83.9929944&navigate=yes"
"El Iral Bosque Nuboso","https://www.waze.com/ul?ll=9.995778%2C-83.923981&navigate=yes"
"EL POCERÓN PROVIDENCIA DOTA","https://www.waze.com/ul?ll=9.686%2C-83.936&navigate=yes"
"El Puerto - Puntarenas","https://www.waze.com/ul?ll=9.2169531%2C-83.336188&navigate=yes"
"Escalada Cachí - Cartago","https://www.waze.com/ul?ll=9.825635%2C-83.8022149&navigate=yes"
"Escape Poasito","https://www.waze.com/ul?ll=10.167224%2C-84.184391&navigate=yes"
"Espino Blanco - Turrialba","https://www.waze.com/ul?ll=9.9067054%2C-83.6800512&navigate=yes"
"Estación Biológica La Selva - Sarapiquí","https://www.waze.com/ul?ll=10.4232682%2C-84.0220298&navigate=yes"
"Estación Biológica Las Cruces - San Vito","https://www.waze.com/ul?ll=8.7853325%2C-82.9592657&navigate=yes"
"Extreme Forest Park Providencia de Dota","https://www.waze.com/ul?ll=9.607497%2C-84.443024&navigate=yes"
"Finca 6 Maravillas - San José","https://www.waze.com/ul?ll=9.84843308331072%2C-84.3699628650028&navigate=yes"
"Finca Bellavista – ¡Dormí en una casa del árbol en medio de la selva! 🌳🏡🌿","https://www.waze.com/ul?ll=8.771%2C-83.222&navigate=yes"
"Finca del ICE: Sendero natural cerca de San José","https://www.waze.com/ul?ll=9.939%2C-83.975&navigate=yes"
"Finca Don Pachi","https://www.waze.com/ul?ll=9.8852915%2C-84.0299601&navigate=yes"
"Finca Dos Ríos","https://www.waze.com/ul?ll=10.245539%2C-84.276283&navigate=yes"
"Finca La Alemana","https://www.waze.com/ul?ll=10.16525%2C-83.885572&navigate=yes"
"Finca La Cayetana","https://www.waze.com/ul?ll=9.869015%2C-84.004725&navigate=yes"
"Finca La Colasa","https://www.waze.com/ul?ll=10.099247%2C-84.120233&navigate=yes"
"Finca La Lucha","https://www.waze.com/ul?ll=9.7177259%2C-83.9844147&navigate=yes"
"Finca Libertad Pura - San Ramón","https://www.waze.com/ul?ll=10.091%2C-84.533&navigate=yes"
"Finca Los Rodríguez - Grecia","https://www.waze.com/ul?ll=10.0739464%2C-84.3147572&navigate=yes"
