nombre,enlace_de_waze
"Aguas Termales de Tabacón","https://www.waze.com/ul?ll=10.4878%2C-84.7222&navigate=yes"
"Catarata La Paz Waterfall Gardens","https://www.waze.com/ul?ll=10.2048%2C-84.2175&navigate=yes"
"Catarata Opendola","https://www.waze.com/ul?ll=10.7511%2C-85.3481&navigate=yes"
"Depósito Libre Comercial de Golfito","https://www.waze.com/ul?ll=8.6475548%2C-83.1786244&navigate=yes"
"Las Hornillas Geothermal Park","https://www.waze.com/ul?ll=10.7228%2C-85.1639&navigate=yes"
"Parque Nacional Volcán Miravalles","https://www.waze.com/ul?ll=10.7486%2C-85.1531&navigate=yes"
"Peñón de Guacalillo y Peñón de Tárcoles","https://www.waze.com/ul?ll=9.8195821%2C-84.6625726&navigate=yes"
"Playa Agujas Norte","https://www.waze.com/ul?ll=10.0267158%2C-85.7369133&navigate=yes"
"Playa Bajo Grande","https://www.waze.com/ul?ll=10.2654722%2C-85.8516074&navigate=yes"
"Playa Balsal","https://www.waze.com/ul?ll=9.625954%2C-84.6541854&navigate=yes"
"Playa Balsitas","https://www.waze.com/ul?ll=9.571%2C-85.105&navigate=yes"
"Playa Barrigona (Cóbano)","https://www.waze.com/ul?ll=9.9373364%2C-84.9176969&navigate=yes"
"Playa Barrigona (Sámara)","https://www.waze.com/ul?ll=9.8823515%2C-85.5764406&navigate=yes"
"Playa Bochinche","https://www.waze.com/ul?ll=9.7318429%2C-84.6437868&navigate=yes"
"Playa Camarita","https://www.waze.com/ul?ll=10.116045%2C-85.0114448&navigate=yes"
"Playa Coyotera","https://www.waze.com/ul?ll=11.0298546%2C-85.7165893&navigate=yes"
"Playa Cuevas","https://www.waze.com/ul?ll=9.5942361%2C-85.1429154&navigate=yes"
"Playa Danta y Dantita","https://www.waze.com/ul?ll=10.4781%2C-85.7847&navigate=yes"
"Playa Dominicalito","https://www.waze.com/ul?ll=9.2344184%2C-83.8429333&navigate=yes"
"Playa Escondida (Jacó)","https://www.waze.com/ul?ll=9.6230496%2C-84.6428834&navigate=yes"
"Playa Escondida (La Cruz)","https://www.waze.com/ul?ll=10.9860849%2C-85.6998969&navigate=yes"
"Playa Espadilla Sur","https://www.waze.com/ul?ll=9.3839353%2C-84.1460104&navigate=yes"
"Playa Frijolar","https://www.waze.com/ul?ll=10.0856047%2C-85.7788106&navigate=yes"
"Playa Gringos","https://www.waze.com/ul?ll=10.9105564%2C-85.899811&navigate=yes"
"Playa Guarumo","https://www.waze.com/ul?ll=10.8985674%2C-85.916033&navigate=yes"
"Playa Icaco","https://www.waze.com/ul?ll=9.8890558%2C-84.7241677&navigate=yes"
"Playa Isidora","https://www.waze.com/ul?ll=8.7242158%2C-83.4670078&navigate=yes"
"Playa Lagartillo","https://www.waze.com/ul?ll=10.214954%2C-85.8357414&navigate=yes"
"Playa Macha","https://www.waze.com/ul?ll=9.415768%2C-84.1646469&navigate=yes"
"Playa Mansita","https://www.waze.com/ul?ll=10.244751%2C-85.8470989&navigate=yes"
"Playa Mariquita","https://www.waze.com/ul?ll=10.852946%2C-85.8246662&navigate=yes"
"Playa Monte del Barco","https://www.waze.com/ul?ll=10.6085465%2C-85.6410551&navigate=yes"
"Playa Morros","https://www.waze.com/ul?ll=10.9091236%2C-85.9071495&navigate=yes"
"Playa Mostrencal","https://www.waze.com/ul?ll=10.9952175%2C-85.7092528&navigate=yes"
"Playa Nance","https://www.waze.com/ul?ll=10.8030291%2C-85.6990234&navigate=yes"
"Playa Naranjo / Roca Bruja","https://www.waze.com/ul?ll=10.7931%2C-85.6669&navigate=yes"
"Playa Papaturro","https://www.waze.com/ul?ll=11.0273195%2C-85.6933365&navigate=yes"
"Playa Pedregosa","https://www.waze.com/ul?ll=10.3779697%2C-85.8455676&navigate=yes"
"Playa Pelada","https://www.waze.com/ul?ll=9.9546799%2C-85.6751755&navigate=yes"
"Playa Piedra Colorada","https://www.waze.com/ul?ll=9.6611217%2C-85.0589904&navigate=yes"
"Playa Piro","https://www.waze.com/ul?ll=8.3925587%2C-83.3320299&navigate=yes"
"Playa Playita","https://www.waze.com/ul?ll=9.3736695%2C-84.1229917&navigate=yes"
"Playa Pleito","https://www.waze.com/ul?ll=10.0357479%2C-85.7430245&navigate=yes"
"Playa Prieta","https://www.waze.com/ul?ll=10.469157%2C-85.777938&navigate=yes"
"Playa Respingue","https://www.waze.com/ul?ll=10.8567182%2C-85.8449437&navigate=yes"
"Playa Surco de Piedra","https://www.waze.com/ul?ll=10.1360688%2C-85.7997301&navigate=yes"
"Playa Toyosa","https://www.waze.com/ul?ll=10.9828391%2C-85.6953016&navigate=yes"
"Playa Tulemar","https://www.waze.com/ul?ll=9.4077568%2C-84.1635125&navigate=yes"
"Playa Vizcaya","https://www.waze.com/ul?ll=9.9163026%2C-82.9894104&navigate=yes"
"Playas Coloradas","https://www.waze.com/ul?ll=10.8605325%2C-85.8561017&navigate=yes"
"Punta Corralillo","https://www.waze.com/ul?ll=9.8994898%2C-84.7293693&navigate=yes"
"Refugio Nacional de Vida Silvestre Ostional","https://www.waze.com/ul?ll=9.9981%2C-85.7003&navigate=yes"
"Río Chollín (Termales Gratuitas Tabacón)","https://www.waze.com/ul?ll=10.4889%2C-84.7235&navigate=yes"
